replace	0.05	0.03	repl_a05_g03
replace	0.06	0.03	repl_a06_g03
replace	0.06	0.05	repl_a06_g05
layer	0.05	0.03	layr_a05_g03
layer	0.08	0.05	layr_a08_g05
